entidad,fna,gna,nam,fdc,sag,longitud,latitud
,,,,,,-65.07284611,-24.47728167
,,,,,,-65.07343866,-24.47381491
,,,,,,-65.07446225,-24.53058082
,,,,,,-65.07317236,-24.53601258
,,,,,,-65.0452969,-24.5087813
,,,,,,-65.05194678,-24.40563687
,,,,,,-65.02494519,-24.4470059
,,,,,,-65.19874092,-24.39458759
,,,,,,-65.26122146,-24.38954702
,,,,,,-65.32920728,-24.37093303
,,,,,,-65.33124871,-24.36993159
,,,,,,-65.33630652,-24.36807427
,,,,,,-65.36714864,-24.38841154
,,,,,,-65.36534337,-24.33754829
,,,,,,-65.28030787,-24.34842674
,,,,,,-65.24668604,-24.34955459
,,,,,,-65.20065916,-24.35130424
,,,,,,-65.07967753,-24.34305161
,,,,,,-65.1078449,-24.55364751
,,,,,,-65.09389837,-24.62993778
,,,,,,-65.18485865,-24.56121806
,,,,,,-65.16997104,-24.46304528
,,,,,,-65.14867776,-24.45540695
,,,,,,-65.14918578,-24.45608674
,,,,,,-65.16299786,-24.43909575
,,,,,,-65.1637294,-24.44175274
,,,,,,-65.16970668,-24.43941387
,,,,,,-65.16980169,-24.43979026
,,,,,,-65.16798664,-24.43938516
,,,,,,-65.18540507,-24.43022678
,,,,,,-65.16534415,-24.43330854
,,,,,,-65.24180433,-24.40560937
,,,,,,-65.27701984,-24.39943479
,,,,,,-65.3815516,-24.64123351
,,,,,,-65.38082572,-24.64165337
,,,,,,-65.45744345,-24.62757481
,,,,,,-65.38231652,-24.60543253
,,,,,,-65.38027059,-24.60347986
,,,,,,-65.38215616,-24.60201148
,,,,,,-65.37747495,-24.59882315
,,,,,,-65.37222786,-24.57203473
,,,,,,-65.25767427,-24.38388793
,,,,,,-65.26121062,-24.38586752
,,,,,,-65.26092353,-24.38998722
,,,,,,-65.26090347,-24.38931532
,,,,,,-65.12906528,-24.386196
,,,,,,-65.11679517,-24.3879725
,,,,,,-65.10858214,-24.38719048
,,,,,,-65.11359735,-24.39358757
,,,,,,-65.12216779,-24.38169483
,,,,,,-65.11910601,-24.38183125
,,,,,,-65.11629523,-24.38063167
,,,,,,-65.11860831,-24.38233673
,,,,,,-65.11519374,-24.37677471
,,,,,,-65.11700289,-24.37498035
,,,,,,-65.11572906,-24.378122
,,,,,,-65.11567376,-24.37854065
,,,,,,-65.1115106,-24.38044122
,,,,,,-65.11719725,-24.37288107
,,,,,,-65.10808568,-24.38559567
,,,,,,-65.1039997,-24.39236534
,,,,,,-65.021555,-24.58093816
,,,,,,-65.00734751,-23.55421745
,,,,,,-65.42690072,-23.64740908
,,,,,,-65.40853176,-23.62546648
,,,,,,-65.40745841,-23.62488974
,,,,,,-65.43269664,-23.57680069
,,,,,,-65.39747801,-23.57089147
,,,,,,-65.36715708,-23.49298885
,,,,,,-65.40837533,-23.51670566
,,,,,,-65.38647849,-23.53928636
,,,,,,-65.39031353,-23.57735476
,,,,,,-65.39309546,-23.57793755
,,,,,,-65.36313532,-23.58705192
,,,,,,-65.35074389,-23.43520885
,,,,,,-65.35080359,-23.43448385
,,,,,,-65.34502238,-23.39310708
,,,,,,-65.34652477,-23.35567621
,,,,,,-65.09185618,-23.36384121
,,,,,,-65.21372699,-23.61350012
,,,,,,-65.04420533,-23.61148025
,,,,,,-65.15919053,-23.56558383
,,,,,,-65.16872835,-23.53833852
,,,,,,-65.00482997,-23.62313252
,,,,,,-65.18467215,-23.43644644
,,,,,,-65.24892275,-23.44786686
,,,,,,-66.05187764,-21.94821726
,,,,,,-66.12021876,-21.92655578
,,,,,,-66.18873364,-21.87641106
,,,,,,-66.26277261,-21.96161643
,,,,,,-66.05186924,-21.94844009
,,,,,,-64.28886415,-23.38302942
,,,,,,-64.42323702,-23.37200999
,,,,,,-64.42927638,-23.39602554
,,,,,,-64.42702255,-23.39486135
,,,,,,-64.42297936,-23.39488463
,,,,,,-64.4254124,-23.40374802
,,,,,,-64.45904113,-23.36768519
,,,,,,-64.42884092,-23.42664467
,,,,,,-64.33207281,-23.43534998
,,,,,,-64.48692604,-23.57337357
,,,,,,-64.09473273,-23.34804064
,,,,,,-64.14239494,-23.43320275
,,,,,,-64.36086428,-23.55838084
,,,,,,-64.36404996,-23.55973977
,,,,,,-64.4722226,-23.64752795
,,,,,,-64.47203691,-23.6449073
,,,,,,-64.47239651,-23.64156239
,,,,,,-64.47201656,-23.64177951
,,,,,,-64.36135401,-23.56127042
,,,,,,-65.46389387,-22.12851449
,,,,,,-65.45582285,-22.09841238
,,,,,,-65.36544326,-22.11021764
,,,,,,-65.27709713,-22.15669438
,,,,,,-65.24870709,-22.11142797
,,,,,,-65.32190169,-22.19022322
,,,,,,-65.16356137,-22.26106701
,,,,,,-65.06432284,-22.30851876
,,,,,,-65.01655613,-22.28346526
,,,,,,-65.01686958,-22.23839986
,,,,,,-65.13447145,-22.1309972
,,,,,,-65.02217406,-22.10352408
,,,,,,-65.0182984,-22.15453182
,,,,,,-65.44279812,-22.16558096
,,,,,,-65.31256696,-22.29599691
,,,,,,-65.32367026,-22.32594562
,,,,,,-65.46205989,-22.13115644
,,,,,,-65.43605954,-22.96904866
,,,,,,-65.36810601,-22.8999251
,,,,,,-65.37039921,-22.82927051
,,,,,,-65.36125995,-22.72774461
,,,,,,-65.35199158,-22.97957034
,,,,,,-65.3520899,-22.97972071
,,,,,,-65.31084678,-22.93106957
,,,,,,-65.29711926,-22.84973026
,,,,,,-65.26388327,-22.797941
,,,,,,-65.31001451,-22.97007946
,,,,,,-65.22389009,-22.88850779
,,,,,,-65.21458346,-22.85898985
,,,,,,-65.21390159,-22.83842713
,,,,,,-65.24267941,-22.75715974
,,,,,,-65.21655505,-22.79146903
,,,,,,-65.23157141,-22.72570118
,,,,,,-65.1016712,-22.74918999
,,,,,,-65.14334472,-22.7749416
,,,,,,-65.19977128,-22.72103394
,,,,,,-65.18471893,-22.70050313
,,,,,,-65.17815688,-22.6771391
,,,,,,-65.19987201,-22.67668448
,,,,,,-66.70236736,-23.08359574
,,,,,,-67.02736021,-23.23832253
,,,,,,-66.80256092,-23.39348718
,,,,,,-66.36731982,-23.39751702
,,,,,,-66.36610421,-23.39849428
,,,,,,-66.40997305,-23.56384475
,,,,,,-66.40992595,-23.56495068
,,,,,,-66.11791032,-23.49999158
,,,,,,-66.28883884,-23.65083994
,,,,,,-66.08941339,-23.34297176
,,,,,,-66.09001345,-23.34203111
,,,,,,-64.50346447,-23.56220443
,,,,,,-64.50872162,-23.58387098
,,,,,,-64.9492444,-23.62232943
,,,,,,-64.95033083,-23.62137543
,,,,,,-64.89695656,-23.56289194
,,,,,,-64.94807415,-23.47604641
,,,,,,-64.94668583,-23.47600754
,,,,,,-64.93458999,-23.4137521
,,,,,,-64.98897354,-23.35592268
,,,,,,-64.98902458,-23.35585453
